AÑO,TOTAL MATRÍCULA,TOTAL MATRÍCULA MUJERES,TOTAL MATRÍCULA HOMBRES,TOTAL MATRÍCULA PRIMER AÑO,CLASIFICACIÓN INSTITUCIÓN NIVEL 1,CLASIFICACIÓN INSTITUCIÓN NIVEL 2,CÓDIGO DE INSTITUCIÓN,NOMBRE INSTITUCIÓN,REGIÓN,NOMBRE SEDE,NOMBRE CARRERA,CÓDIGO CARRERA,NIVEL GLOBAL,MODALIDAD,JORNADA
2018,52,40,12,15,Centros de Formación Técnica,Centros de Formación Técnica,315,CFT ALFA,Maule,CASA CENTRAL (CONSTITUCION),ADMINISTRACION DE EMPRESAS,,,,
2018,42,34,8,21,Centros de Formación Técnica,Centros de Formación Técnica,315,CFT ALFA,Maule,CASA CENTRAL (CONSTITUCION),CONTABILIDAD,,,,
2018,29,11,18,23,Centros de Formación Técnica,Centros de Formación Técnica,382,CFT ALPES,Metropolitana,CASA CENTRAL (SANTIAGO),FOTOGRAFIA,I382S1C17J1V1,Pregrado,Presencial,Diurna
2018,3,1,2,0,Centros de Formación Técnica,Centros de Formación Técnica,382,CFT ALPES,Metropolitana,CASA CENTRAL (SANTIAGO),FOTOGRAFIA,I382S1C17J2V1,Pregrado,Presencial,Vespertina
2018,34,12,22,16,Centros de Formación Técnica,Centros de Formación Técnica,382,CFT ALPES,Metropolitana,CASA CENTRAL (SANTIAGO),FOTOGRAFIA ESPECIALIDADES FOTOGRAFIA PUBLICITARIA Y FOTOGRAFIA PERIODISTICA,I382S1C13J1V1,Pregrado,Presencial,Diurna
2018,73,24,49,29,Centros de Formación Técnica,Centros de Formación Técnica,382,CFT ALPES,Metropolitana,CASA CENTRAL (SANTIAGO),ILUSTRACION ARTISTICA,I382S1C7J1V1,Pregrado,Presencial,Diurna
2018,18,12,6,12,Centros de Formación Técnica,Centros de Formación Técnica,382,CFT ALPES,Metropolitana,CASA CENTRAL (SANTIAGO),TECNICO DE NIVEL SUPERIOR EN FOTOGRAFIA,I382S1C17J2V2,Pregrado,Presencial,Vespertina
2018,15,11,4,0,Centros de Formación Técnica,Centros de Formación Técnica,261,CFT ANDRES BELLO,La Araucanía,CASA CENTRAL (TEMUCO),ADMINISTRACION DE EMPRESAS,,,,
2018,19,12,7,1,Centros de Formación Técnica,Centros de Formación Técnica,261,CFT ANDRES BELLO,La Araucanía,CASA CENTRAL (TEMUCO),ADMINISTRACION DE EMPRESAS,,,,
2018,2,2,0,0,Centros de Formación Técnica,Centros de Formación Técnica,261,CFT ANDRES BELLO,La Araucanía,SEDE ANGOL,ADMINISTRACION DE EMPRESAS,,,,
2018,28,22,6,0,Centros de Formación Técnica,Centros de Formación Técnica,261,CFT ANDRES BELLO,La Araucanía,SEDE ANGOL,ADMINISTRACION DE EMPRESAS,,,,
2018,6,4,2,0,Centros de Formación Técnica,Centros de Formación Técnica,261,CFT ANDRES BELLO,La Araucanía,CASA CENTRAL (TEMUCO),ASISTENTE JURIDICO,,,,
2018,6,4,2,0,Centros de Formación Técnica,Centros de Formación Técnica,261,CFT ANDRES BELLO,La Araucanía,CASA CENTRAL (TEMUCO),CONTABILIDAD GENERAL,,,,
2018,4,2,2,0,Centros de Formación Técnica,Centros de Formación Técnica,261,CFT ANDRES BELLO,La Araucanía,CASA CENTRAL (TEMUCO),CONTABILIDAD GENERAL,,,,
